source_loc,source_complexity,source_out_degree,source_pagerank,source_betweenness,source_is_entry,target_loc,target_complexity,target_in_degree,target_out_degree,target_pagerank,target_betweenness,target_is_test,dependency_distance,direct_dependency,shared_dependencies_count,shared_dependents_count,same_module,affected
47.54144719814873,7.8873793222045805,3,0.0012083407573518687,0.00022947641447923592,0.0,46.50356531676157,9.61372233179981,4,4,0.004981236252676886,0.001727110392362713,0.0,3.0,0.0,0.0,0.0,0.0,1
250.8097144734017,6.193710923761968,1,0.0017823002574985415,0.0012888280354783994,0.0,16.877450072923736,1.9352213122891944,3,2,0.011513307421668471,0.0013448582775967537,1.0,4.0,0.0,0.0,0.0,0.0,1
115.33965548363595,8.543903236151614,3,0.00398055080987285,0.0009437137055954223,0.0,71.8926983376602,3.3492964028440833,4,4,0.006066753515905408,4.090250718789693e-05,0.0,1.0,1.0,5.0,2.0,0.0,1
83.03540430207626,5.054403620123017,3,0.005653127283431098,0.0004211583251604332,0.0,357.98376737449075,2.9219197581744143,0,1,0.0038372627285317576,0.0019792852164076174,0.0,1.0,1.0,3.0,1.0,0.0,1
23.569989636987703,3.467884920263619,1,0.002821136178487901,0.0014204280067617193,0.0,36.913868663499,9.379050468375175,1,3,0.007769061405542415,0.0008509776571679807,0.0,2.0,0.0,5.0,3.0,0.0,1
23.567703353168415,4.71743675395839,5,0.006569746868574844,0.0004840651159760392,0.0,11.342337638250518,4.134984971398677,2,1,0.007241795343352527,0.00035643425624854754,0.0,99.0,0.0,0.0,0.0,0.0,0
14.787101488694454,2.319328054003855,6,0.0016444676088287176,0.0010042066630637837,0.0,27.934786340250234,9.603991796893606,3,2,0.005065229913923666,0.0015772461545705203,0.0,3.0,0.0,0.0,0.0,0.0,1
170.89846915839516,1.918555340677739,0,0.011099564332093588,0.0002137697042118959,0.0,138.26390069729422,5.425582519820228,2,6,0.0069450016030178216,0.0008546594592039485,0.0,1.0,1.0,1.0,3.0,0.0,1
83.52657229018116,2.9582670358563425,2,0.009734942312686384,0.00020318555305350578,0.0,92.08480521482599,5.799816567731289,9,2,0.03142295701727654,0.0004480570218598251,0.0,2.0,0.0,4.0,2.0,1.0,1
108.50000493636722,10.06862281512198,5,0.013101477900638318,0.0006371933277674356,1.0,20.85447111450358,3.591803901048415,2,6,0.00020535522330896816,0.0008786333030497118,1.0,4.0,0.0,0.0,0.0,0.0,0
11.66394463993109,3.1324629206549224,3,0.004674974826687901,0.0013811404583904344,0.0,189.22569321473424,4.771763100104215,3,7,0.006611960930366455,0.0018543031817364057,1.0,99.0,0.0,0.0,0.0,0.0,0
